,0
0,226980
1,1608640
2,2623190
3,327140
4,411620
5,203510
6,232050
7,207370
8,368180
9,1284410
10,1696820
11,220
12,584400
13,49470
14,782330
15,1482860
16,1092630
17,30
18,1222670
19,730
20,1568590
21,267490
22,434650
23,365720
24,323190
25,231740
26,273350
27,1511780
28,975370
29,1173820
30,221380
31,237930
32,658480
33,2357570
34,244160
35,1515950
36,851850
37,20900
38,9060
39,593850
40,652980
41,289070
42,57900
43,262590
44,95300
45,375910
46,230410
47,588430
48,751780
49,774461
50,242980
51,234650
52,625140
53,201570
54,440900
55,238210
56,1546320
57,487220
58,280790
59,765850
60,613830
61,409710
62,394360
63,211820
64,277430
65,1730700
66,576030
67,40300
68,12180
69,200510
70,259360
71,2162800
72,772060
73,37400
74,17470
75,1928420
76,37600
77,1985690
78,590
79,555000
80,35500
81,570940
82,22330
83,400430
84,1437820
85,250760
86,1671340
87,868020
88,407530
89,211600
90,40990
91,256290
92,2719290
93,665620
94,347560
95,473950
96,1911610
97,3300
98,765860
99,763970
100,22370
101,2322010
102,433600
103,297020
104,943760
105,50620
106,107300
107,1030830
108,334230
109,368230
110,271900
111,1684510
112,3480
113,874260
114,63710
115,459220
116,397500
117,231060
118,279720
119,2344520
120,321800
121,310560
122,850060
123,504230
124,259280
125,1049410
126,1282100
127,2835570
128,33900
129,215100
130,326520
131,391220
132,2171630
133,295110
134,412600
135,765900
136,2302990
137,2992500
138,436940
139,997070
140,1601580
141,2551020
142,1086940
143,524580
144,70300
145,275850
146,25900
147,2495050
148,275670
149,274270
150,375600
151,208140
152,3920
153,804490
154,384750
155,234390
156,1116580
157,289690
158,386620
159,107310
160,979010
161,208580
162,235660
163,100
164,105600
165,20820
166,3097560
167,12230
168,39160
169,221540
170,1337520
171,530350
172,772420
173,1250
174,223750
175,8890
176,8600
177,733710
178,1127500
179,232430
180,203160
181,1520
182,92100
183,999220
184,558990
185,272040
186,486780
187,1113000
188,499440
189,280
190,1069740
191,265690
192,1604030
193,2767030
194,130
195,563560
196,246580
197,257850
198,544750
199,405640
200,227300
201,1076280
202,450390
203,221910
204,1582890
205,219990
206,537800
207,780290
208,1569580
209,583270
210,863550
211,362890
212,300
213,7620
214,3910
215,813230
216,2131650
217,222880
218,2172900
219,48900
220,362960
221,9050
222,285900
223,1173800
224,892040
225,238010
226,41010
227,2334730
228,237310
229,453090
230,1976950
231,1206610
232,454910
233,620
234,204060
235,846770
236,2289450
237,20550
238,446150
239,113400
240,1012840
241,387290
242,1133320
243,2016590
244,491220
245,330830
246,209270
247,407090
248,40800
249,339800
250,1329410
251,728730
252,250320
253,431960
254,2012510
255,1664060
256,1245620
257,24960
258,632360
259,365360
260,4920
261,39200
262,455400
263,232090
264,48000
265,227940
266,878760
267,55110
268,387340
269,201810
270,41000
271,1449850
272,435790
273,1332010
274,2674810
275,386360
276,219150
277,2050650
278,738720
279,2103530
280,403430
281,411820
282,242760
283,1669000
284,206190
285,406410
286,690350
287,1089350
288,63650
289,360170
290,1353300
291,311730
292,993090
293,1690710
294,252690
295,1368440
296,1894430
297,2124490
298,427520
299,342180
300,236390
301,1833000
302,22500
303,242820
304,267360
305,2078350
306,10
307,311210
308,1827180
309,892050
310,529910
311,619080
312,254100
313,252950
314,279640
315,409720
316,104100
317,435120
318,385560
319,72850
320,557600
321,881100
322,976730
323,520720
324,613900
325,24740
326,415300
327,65980
328,1097150
329,253880
330,241930
331,20530
332,252490
333,1995590
334,230700
335,684410
336,107100
337,723820
338,731040
339,314650
340,214700
341,239450
342,2153770
343,524390
344,252630
345,377160
346,543410
347,255870
348,304930
349,1000030
350,596420
351,1659040
352,590690
353,35720
354,47540
355,448280
356,257510
357,1555110
358,729660
359,283640
360,274190
361,358720
362,2018130
363,34270
364,50130
365,327030
366,686910
367,252030
368,1497440
369,408900
370,290300
371,418520
372,377310
373,239030
374,984800
375,766570
376,1260520
377,227320
378,916440
379,65800
380,431370
381,780310
382,381210
383,8660
384,1340530
385,259130
386,322330
387,22600
388,254080
389,254920
390,225140
391,239120
392,209370
393,55040
394,813780
395,552700
396,78000
397,231430
398,1059990
399,856620
400,925940
401,1328670
402,475190
403,1551360
404,251570
405,463060
406,278360
407,574760
408,617830
409,32400
410,1794680
411,219740
412,1172470
413,466300
414,304410
415,11360
416,266840
417,838410
418,1462040
419,548570
420,531640
421,367540
422,653530
423,63660
424,49400
425,790820
426,880940
427,346900
428,582160
429,433850
430,345350
431,41900
