,0
226980,0
1608640,1
2623190,2
327140,3
411620,4
203510,5
232050,6
207370,7
368180,8
1284410,9
1696820,10
220,11
584400,12
49470,13
782330,14
1482860,15
1092630,16
30,17
1222670,18
730,19
1568590,20
267490,21
434650,22
365720,23
323190,24
231740,25
273350,26
1511780,27
975370,28
1173820,29
221380,30
237930,31
658480,32
2357570,33
244160,34
1515950,35
851850,36
20900,37
9060,38
593850,39
652980,40
289070,41
57900,42
262590,43
95300,44
375910,45
230410,46
588430,47
751780,48
774461,49
242980,50
234650,51
625140,52
201570,53
440900,54
238210,55
1546320,56
487220,57
280790,58
765850,59
613830,60
409710,61
394360,62
211820,63
277430,64
1730700,65
576030,66
40300,67
12180,68
200510,69
259360,70
2162800,71
772060,72
37400,73
17470,74
1928420,75
37600,76
1985690,77
590,78
555000,79
35500,80
570940,81
22330,82
400430,83
1437820,84
250760,85
1671340,86
868020,87
407530,88
211600,89
40990,90
256290,91
2719290,92
665620,93
347560,94
473950,95
1911610,96
3300,97
765860,98
763970,99
22370,100
2322010,101
433600,102
297020,103
943760,104
50620,105
107300,106
1030830,107
334230,108
368230,109
271900,110
1684510,111
3480,112
874260,113
63710,114
459220,115
397500,116
231060,117
279720,118
2344520,119
321800,120
310560,121
850060,122
504230,123
259280,124
1049410,125
1282100,126
2835570,127
33900,128
215100,129
326520,130
391220,131
2171630,132
295110,133
412600,134
765900,135
2302990,136
2992500,137
436940,138
997070,139
1601580,140
2551020,141
1086940,142
524580,143
70300,144
275850,145
25900,146
2495050,147
275670,148
274270,149
375600,150
208140,151
3920,152
804490,153
384750,154
234390,155
1116580,156
289690,157
386620,158
107310,159
979010,160
208580,161
235660,162
100,163
105600,164
20820,165
3097560,166
12230,167
39160,168
221540,169
1337520,170
530350,171
772420,172
1250,173
223750,174
8890,175
8600,176
733710,177
1127500,178
232430,179
203160,180
1520,181
92100,182
999220,183
558990,184
272040,185
486780,186
1113000,187
499440,188
280,189
1069740,190
265690,191
1604030,192
2767030,193
130,194
563560,195
246580,196
257850,197
544750,198
405640,199
227300,200
1076280,201
450390,202
221910,203
1582890,204
219990,205
537800,206
780290,207
1569580,208
583270,209
863550,210
362890,211
300,212
7620,213
3910,214
813230,215
2131650,216
222880,217
2172900,218
48900,219
362960,220
9050,221
285900,222
1173800,223
892040,224
238010,225
41010,226
2334730,227
237310,228
453090,229
1976950,230
1206610,231
454910,232
620,233
204060,234
846770,235
2289450,236
20550,237
446150,238
113400,239
1012840,240
387290,241
1133320,242
2016590,243
491220,244
330830,245
209270,246
407090,247
40800,248
339800,249
1329410,250
728730,251
250320,252
431960,253
2012510,254
1664060,255
1245620,256
24960,257
632360,258
365360,259
4920,260
39200,261
455400,262
232090,263
48000,264
227940,265
878760,266
55110,267
387340,268
201810,269
41000,270
1449850,271
435790,272
1332010,273
2674810,274
386360,275
219150,276
2050650,277
738720,278
2103530,279
403430,280
411820,281
242760,282
1669000,283
206190,284
406410,285
690350,286
1089350,287
63650,288
360170,289
1353300,290
311730,291
993090,292
1690710,293
252690,294
1368440,295
1894430,296
2124490,297
427520,298
342180,299
236390,300
1833000,301
22500,302
242820,303
267360,304
